Running in 2024-03-22 23:55:09.078194
Running in 2024-03-22 23:55:19.346448
0,1X,10,68,316.2
10,1X,10,40,174.0
20,1X,10,60,273.0
30,1X,10,60,264.0
40,1X,10,68,319.6
50,1X,10,88,409.2
60,1X,10,48,208.8
70,1X,10,68,309.4
80,1X,10,44,213.4
90,1X,10,52,244.4
0,1X,20,88,572.0
10,1X,20,136,938.4
20,1X,20,104,748.8
30,1X,20,136,822.8
40,1X,20,192,1209.6
50,1X,20,96,638.4
60,1X,20,120,798.0
70,1X,20,112,767.2
80,1X,20,128,838.4
90,1X,20,128,864.0
Running in 2024-03-22 23:57:28.153920
0,1X,10,68,316.2
10,1X,10,40,174.0
20,1X,10,60,273.0
30,1X,10,60,264.0
40,1X,10,68,319.6
50,1X,10,88,409.2
Running in 2024-03-23 00:00:48.739439
0,1X,10,68,316.2
10,1X,10,40,174.0
20,1X,10,60,273.0
30,1X,10,60,264.0
40,1X,10,68,319.6
Running in 2024-03-23 00:07:01.696238
0,1X,10,68,316.2
10,1X,10,40,174.0
20,1X,10,60,273.0
30,1X,10,60,264.0
40,1X,10,68,319.6
50,1X,10,88,409.2
60,1X,10,48,208.8
70,1X,10,68,309.4
80,1X,10,44,213.4
90,1X,10,52,244.4
0,1X,20,88,572.0
10,1X,20,136,938.4
20,1X,20,104,748.8
30,1X,20,136,822.8
40,1X,20,192,1209.6
50,1X,20,96,638.4
60,1X,20,120,798.0
70,1X,20,112,767.2
80,1X,20,128,838.4
90,1X,20,128,864.0
Running in 2024-03-23 00:10:04.226528
0,1X,10,68,316.2
10,1X,10,40,174.0
20,1X,10,60,273.0
30,1X,10,60,264.0
40,1X,10,68,319.6
50,1X,10,88,409.2
60,1X,10,48,208.8
70,1X,10,68,309.4
80,1X,10,44,213.4
90,1X,10,52,244.4
0,1X,20,88,572.0
10,1X,20,136,938.4
20,1X,20,104,748.8
30,1X,20,136,822.8
40,1X,20,192,1209.6
50,1X,20,96,638.4
60,1X,20,120,798.0
70,1X,20,112,767.2
80,1X,20,128,838.4
90,1X,20,128,864.0
0,1X,40,352,3432.0
10,1X,40,416,3952.0
20,1X,40,384,3628.8
30,1X,40,384,3782.4
40,1X,40,256,2662.4
50,1X,40,384,3782.4
60,1X,40,352,3537.6
70,1X,40,320,3216.0
80,1X,40,448,4256.0
90,1X,40,384,3744.0
0,1X,80,960,13584.0
10,1X,80,896,13350.4
20,1X,80,1024,14950.4
30,1X,80,1280,18560.0
40,1X,80,1024,14387.2
50,1X,80,1408,20064.0
60,1X,80,1536,21350.4
Running in 2024-03-23 00:16:42.631538
Running in 2024-03-23 00:20:13.228851
